TEAM CODE,crestURI,teamName
,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg,Borussia Dortmund
,https://upload.wikimedia.org/wikipedia/en/0/04/RB_Leipzig_2014_logo.svg,Red Bull Leipzig
,https://upload.wikimedia.org/wikipedia/commons/8/81/Borussia_Mönchengladbach_logo.svg,Bor. Mönchengladbach
,https://upload.wikimedia.org/wikipedia/en/5/59/Bayer_04_Leverkusen_logo.svg,Bayer Leverkusen
,https://upload.wikimedia.org/wikipedia/commons/e/e7/Logo_TSG_Hoffenheim.svg,TSG 1899 Hoffenheim
,http://upload.wikimedia.org/wikipedia/commons/0/04/Eintracht_Frankfurt_Logo.svg,Eintracht Frankfurt
,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg,FC Augsburg
,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg,Hannover 96
,https://upload.wikimedia.org/wikipedia/commons/8/81/Hertha_BSC_Logo_2012.svg,Hertha BSC
,https://upload.wikimedia.org/wikipedia/commons/f/f3/Logo-VfL-Wolfsburg.svg,VfL Wolfsburg
,http://upload.wikimedia.org/wikipedia/de/f/f1/SC-Freiburg_Logo-neu.svg,SC Freiburg
,http://upload.wikimedia.org/wikipedia/commons/a/ab/VfB_Stuttgart_Logo.svg,VfB Stuttgart
,http://upload.wikimedia.org/wikipedia/de/0/0b/FSV_Mainz_05_Logo.svg,1. FSV Mainz 05
,http://upload.wikimedia.org/wikipedia/commons/b/be/SV-Werder-Bremen-Logo.svg,Werder Bremen
,http://upload.wikimedia.org/wikipedia/commons/6/66/HSV-Logo.svg,Hamburger SV
,https://upload.wikimedia.org/wikipedia/en/5/53/FC_Cologne_logo.svg,1. FC Köln
